Golofa porteri,4,ガウジョタテヅノカブト,ヒメノコギリタテヅノカブト,コブタテヅノカブト,ノコギリタテヅノカブト
Golofa eacus,2,ツヤヒシガタタテヅノカブト,ヒメノコギリタテヅノカブト,ヒメコブタテヅノカブト,コブナガタテヅノカブト
Golofa pizarro,1,ピサロタテヅノカブト,ヒメコブタテヅノカブト,クラヴィゲールタテヅノカブト,ヒメノコギリタテヅノカブト
Golofa claviger,1,クラヴィゲールタテヅノカブト,アルゼンチンタテヅノカブト,イネルミスタテヅノカブト,ピサロタテヅノカブト
Golofa obliquicornis,2,コスタリカタテヅノカブト,コブナガタテヅノカブト,クロヘリチビタテヅノカブト,イネルミスタテヅノカブト
Golofa globricornis,3,ツヤヒシガタタテヅノカブト,ピサロタテヅノカブト,コブタテヅノカブト,インカタテヅノカブト
Golofa pelagon,1,ヒメコブタテヅノカブト,ケブカタテヅノカブト,クラヴィゲールタテヅノカブト,ヒメノコギリタテヅノカブト
Golofa cochlearis,4,ツヤヒシガタタテヅノカブト,イネルミスタテヅノカブト,スパサタテヅノカブト,ツヤタテヅノカブト
Golofa xiximeca,1,ツヤヒシガタタテヅノカブト,ガウジョタテヅノカブト,クロスジタテヅノカブト,パラドックスタテヅノカブト
Golofa aegeon,4,インカタテヅノカブト,ツヤタテヅノカブト,ピサロタテヅノカブト,アエギオンタテヅノカブト
Golofa imperialis,3,スパサタテヅノカブト,パラドックスタテヅノカブト,ミカドヒメタテヅノカブト,インカタテヅノカブト
Golofa costaricensis,2,ツヤタテヅノカブト,コスタリカタテヅノカブト,ヒメコブタテヅノカブト,コブナガタテヅノカブト
Golofa unicolor,1,ケブカタテヅノカブト,パラドックスタテヅノカブト,クロタテヅノカブト,コブタテヅノカブト
Golofa incas,4,ケブカタテヅノカブト,クラヴィゲールタテヅノカブト,テパネネカタテヅノカブト,インカタテヅノカブト
Golofa paradoxa,3,ツヤタテヅノカブト,スパサタテヅノカブト,パラドックスタテヅノカブト,コスタリカタテヅノカブト
Golofa pusillus,1,クロヘリチビタテヅノカブト,ガウジョタテヅノカブト,クロスジタテヅノカブト,ケブカタテヅノカブト
Golofa argentinus,1,アルゼンチンタテヅノカブト,クロタテヅノカブト,コスタリカタテヅノカブト,コブタテヅノカブト
Golofa gaujoni,2,ミカドヒメタテヅノカブト,ガウジョタテヅノカブト,アエギオンタテヅノカブト,テパネネカタテヅノカブト
Golofa spatha,1,スパサタテヅノカブト,アエギオンタテヅノカブト,コブナガタテヅノカブト,クロスジタテヅノカブト
Golofa tepaneneca,1,テパネネカタテヅノカブト,クロヘリチビタテヅノカブト,ノコギリタテヅノカブト,ミカドヒメタテヅノカブト
Golofa inermis,1,イネルミスタテヅノカブト,アエギオンタテヅノカブト,クロヘリチビタテヅノカブト,クロタテヅノカブト
Golofa minuta,4,ノコギリタテヅノカブト,アルゼンチンタテヅノカブト,テパネネカタテヅノカブト,クロスジタテヅノカブト
Golofa tersander,2,ミカドヒメタテヅノカブト,クロタテヅノカブト,アルゼンチンタテヅノカブト,ノコギリタテヅノカブト
