Dynastes hercules,1,ヘラクレスオオカブト,ティティウスシロカブト,サタンオオカブト,ネプチューンオオカブト
Dynastes neptunus,3,ヘラクレスオオカブト,グラントシロカブト,ネプチューンオオカブト,ティティウスシロカブト
Dynastes satanas,4,ネプチューンオオカブト,ミヤシタシロカブト,ヒルスシロカブト,サタンオオカブト
Dynastes granti,4,マヤシロカブト,ティティウスシロカブト,ヒルスシロカブト,グラントシロカブト
Dynastes hyllus,2,マヤシロカブト,ヒルスシロカブト,ネプチューンオオカブト,ミヤシタシロカブト
Dynastes tityus,3,サタンオオカブト,ミヤシタシロカブト,ティティウスシロカブト,マヤシロカブト
Dynastes maya,1,マヤシロカブト,サタンオオカブト,ヘラクレスオオカブト,グラントシロカブト
Dynastes miyashitai,3,グラントシロカブト,ヘラクレスオオカブト,ミヤシタシロカブト,ヒルスシロカブト
Megasoma elephas,3,メキシコゾウカブト,アヌビスゾウカブト,エレファスゾウカブト,セドロサヒメゾウカブト
Megasoma occidentalis,2,アヌビスゾウカブト,メキシコゾウカブト,エレファスゾウカブト,セドロサヒメゾウカブト
Megasoma gyas,3,ミナミヒメ（ケブカ）ゾウカブト,ボグディヒメゾウカブト,ギアスゾウカブト,セドロサヒメゾウカブト
Megasoma anubis,4,ギアスゾウカブト,セドロサヒメゾウカブト,メキシコゾウカブト,アヌビスゾウカブト
Megasoma joergenseni,1,ミナミヒメ（ケブカ）ゾウカブト,セドロサヒメゾウカブト,ボグディヒメゾウカブト,メキシコゾウカブト
Megasoma cedrosa,3,ミナミヒメ（ケブカ）ゾウカブト,ギアスゾウカブト,セドロサヒメゾウカブト,ボグディヒメゾウカブト
Megasoma vogti,1,ボグディヒメゾウカブト,ミナミヒメ（ケブカ）ゾウカブト,エレファスゾウカブト,ギアスゾウカブト
Megasoma thersites,2,セドロサヒメゾウカブト,ケブカゾウカブト,エレファスゾウカブト,アヌビスゾウカブト
Megasoma actaeon,3,マルスゾウカブト,メキシコヒメゾウカブト,アクティオンゾウカブト,スリーパーヒメゾウカブト
Megasoma mars,4,メキシコヒメゾウカブト,ツヤケシヒメゾウカブト,アクティオンゾウカブト,マルスゾウカブト
Megasoma janus,3,アクティオンゾウカブト,スリーパーヒメゾウカブト,ヤヌスゾウカブト,マルスゾウカブト
Megasoma pachecoi,1,メキシコヒメゾウカブト,マルスゾウカブト,ヤヌスゾウカブト,アクティオンゾウカブト
Megasoma punctulatum,2,アクティオンゾウカブト,ツヤケシヒメゾウカブト,スリーパーヒメゾウカブト,ヤヌスゾウカブト
Megasoma sleeperi,1,スリーパーヒメゾウカブト,ヤヌスゾウカブト,ツヤケシヒメゾウカブト,メキシコヒメゾウカブト
